"location","hits","keyword","geo","gprop","date"
"Tennessee",49,"abortion","US","web","2024-10-25 2024-10-26"
"Virginia",48,"abortion","US","web","2024-10-25 2024-10-26"
"Texas",47,"abortion","US","web","2024-10-25 2024-10-26"
"Mississippi",46,"abortion","US","web","2024-10-25 2024-10-26"
"Rhode Island",46,"abortion","US","web","2024-10-25 2024-10-26"
"New Jersey",45,"abortion","US","web","2024-10-25 2024-10-26"
"Massachusetts",44,"abortion","US","web","2024-10-25 2024-10-26"
"New York",44,"abortion","US","web","2024-10-25 2024-10-26"
"New Hampshire",44,"abortion","US","web","2024-10-25 2024-10-26"
"Alabama",43,"abortion","US","web","2024-10-25 2024-10-26"
"Louisiana",42,"abortion","US","web","2024-10-25 2024-10-26"
"Washington",42,"abortion","US","web","2024-10-25 2024-10-26"
"Kentucky",41,"abortion","US","web","2024-10-25 2024-10-26"
"Illinois",39,"abortion","US","web","2024-10-25 2024-10-26"
"Connecticut",36,"abortion","US","web","2024-10-25 2024-10-26"
"California",32,"abortion","US","web","2024-10-25 2024-10-26"
"Hawaii",24,"abortion","US","web","2024-10-25 2024-10-26"
"Alaska",NA,"abortion","US","web","2024-10-25 2024-10-26"
"Delaware",NA,"abortion","US","web","2024-10-25 2024-10-26"
"Wyoming",NA,"abortion","US","web","2024-10-25 2024-10-26"
"Alaska",NA,"bisalp","US","web","2024-10-25 2024-10-26"
"Alabama",NA,"bisalp","US","web","2024-10-25 2024-10-26"
"Arkansas",NA,"bisalp","US","web","2024-10-25 2024-10-26"
"Arizona",NA,"bisalp","US","web","2024-10-25 2024-10-26"
"California",NA,"bisalp","US","web","2024-10-25 2024-10-26"
"Colorado",NA,"bisalp","US","web","2024-10-25 2024-10-26"
"Connecticut",NA,"bisalp","US","web","2024-10-25 2024-10-26"
"District of Columbia",NA,"bisalp","US","web","2024-10-25 2024-10-26"
"Delaware",NA,"bisalp","US","web","2024-10-25 2024-10-26"
"Florida",NA,"bisalp","US","web","2024-10-25 2024-10-26"
"Georgia",NA,"bisalp","US","web","2024-10-25 2024-10-26"
"Hawaii",NA,"bisalp","US","web","2024-10-25 2024-10-26"
"Iowa",NA,"bisalp","US","web","2024-10-25 2024-10-26"
"Idaho",NA,"bisalp","US","web","2024-10-25 2024-10-26"
"Illinois",NA,"bisalp","US","web","2024-10-25 2024-10-26"
"Indiana",NA,"bisalp","US","web","2024-10-25 2024-10-26"
"Kansas",NA,"bisalp","US","web","2024-10-25 2024-10-26"
"Kentucky",NA,"bisalp","US","web","2024-10-25 2024-10-26"
"Louisiana",NA,"bisalp","US","web","2024-10-25 2024-10-26"
"Massachusetts",NA,"bisalp","US","web","2024-10-25 2024-10-26"
"Maryland",NA,"bisalp","US","web","2024-10-25 2024-10-26"
"Maine",NA,"bisalp","US","web","2024-10-25 2024-10-26"
"Michigan",NA,"bisalp","US","web","2024-10-25 2024-10-26"
"Minnesota",NA,"bisalp","US","web","2024-10-25 2024-10-26"
"Missouri",NA,"bisalp","US","web","2024-10-25 2024-10-26"
"Mississippi",NA,"bisalp","US","web","2024-10-25 2024-10-26"
"Montana",NA,"bisalp","US","web","2024-10-25 2024-10-26"
"North Carolina",NA,"bisalp","US","web","2024-10-25 2024-10-26"
"North Dakota",NA,"bisalp","US","web","2024-10-25 2024-10-26"
"Nebraska",NA,"bisalp","US","web","2024-10-25 2024-10-26"
"New Hampshire",NA,"bisalp","US","web","2024-10-25 2024-10-26"
"New Jersey",NA,"bisalp","US","web","2024-10-25 2024-10-26"
"New Mexico",NA,"bisalp","US","web","2024-10-25 2024-10-26"
"Nevada",NA,"bisalp","US","web","2024-10-25 2024-10-26"
"New York",NA,"bisalp","US","web","2024-10-25 2024-10-26"
"Ohio",NA,"bisalp","US","web","2024-10-25 2024-10-26"
"Oklahoma",NA,"bisalp","US","web","2024-10-25 2024-10-26"
"Oregon",NA,"bisalp","US","web","2024-10-25 2024-10-26"
"Pennsylvania",NA,"bisalp","US","web","2024-10-25 2024-10-26"
"Rhode Island",NA,"bisalp","US","web","2024-10-25 2024-10-26"
"South Carolina",NA,"bisalp","US","web","2024-10-25 2024-10-26"
"South Dakota",NA,"bisalp","US","web","2024-10-25 2024-10-26"
"Tennessee",NA,"bisalp","US","web","2024-10-25 2024-10-26"
"Texas",NA,"bisalp","US","web","2024-10-25 2024-10-26"
"Utah",NA,"bisalp","US","web","2024-10-25 2024-10-26"
"Virginia",NA,"bisalp","US","web","2024-10-25 2024-10-26"
"Vermont",NA,"bisalp","US","web","2024-10-25 2024-10-26"
"Washington",NA,"bisalp","US","web","2024-10-25 2024-10-26"
"Wisconsin",NA,"bisalp","US","web","2024-10-25 2024-10-26"
"West Virginia",NA,"bisalp","US","web","2024-10-25 2024-10-26"
"Wyoming",NA,"bisalp","US","web","2024-10-25 2024-10-26"
"Nevada",100,"plan B","US","web","2024-10-25 2024-10-26"
"Louisiana",96,"plan B","US","web","2024-10-25 2024-10-26"
"Connecticut",93,"plan B","US","web","2024-10-25 2024-10-26"
"Colorado",80,"plan B","US","web","2024-10-25 2024-10-26"
"Texas",77,"plan B","US","web","2024-10-25 2024-10-26"
